time,open,high,low,close,volume
2026-07-14T09:15:00+05:30,25000,25008.807,24981.7531,24990.4255,6947
2026-07-14T09:16:00+05:30,24990.4255,24996.633,24961.6846,24970.6226,10079
2026-07-14T09:17:00+05:30,24970.6226,24982.342,24964.7121,24977.4355,4889
2026-07-14T09:18:00+05:30,24977.4355,24999.988,24964.836,24986.4703,5596
2026-07-14T09:19:00+05:30,24986.4703,25019.555,24971.6643,25005.3678,2365
2026-07-14T09:20:00+05:30,25005.3678,25018.28,24998.5394,25009.1434,12517
2026-07-14T09:21:00+05:30,25009.1434,25017.0239,24999.4569,25015.7718,7433
2026-07-14T09:22:00+05:30,25015.7718,25032.2185,25008.8309,25019.8835,11285
2026-07-14T09:23:00+05:30,25019.8835,25046.8871,25016.5058,25038.3525,10937
2026-07-14T09:24:00+05:30,25038.3525,25054.2491,25033.8599,25038.9404,9433
2026-07-14T09:25:00+05:30,25038.9404,25043.0503,25031.4291,25035.3018,2706
2026-07-14T09:26:00+05:30,25035.3018,25045.6965,25031.8497,25034.4194,12056
2026-07-14T09:27:00+05:30,25034.4194,25049.008,24995.1401,25005.0521,9022
2026-07-14T09:28:00+05:30,25005.0521,25023.9861,24996.5511,25015.7832,6546
2026-07-14T09:29:00+05:30,25015.7832,25019.5357,25002.4744,25003.5174,1999
2026-07-14T09:30:00+05:30,25003.5174,25014.4556,24996.8682,25013.0674,2362
2026-07-14T09:31:00+05:30,25013.0674,25028.0985,24999.0282,25007.1626,7860
2026-07-14T09:32:00+05:30,25007.1626,25014.2139,24980.9494,24992.9804,8053
2026-07-14T09:33:00+05:30,24992.9804,25005.463,24983.2843,24985.4435,5599
2026-07-14T09:34:00+05:30,24985.4435,25003.8596,24973.1628,24992.5476,2159
2026-07-14T09:35:00+05:30,24992.5476,25000.3161,24965.9838,24981.3313,3370
2026-07-14T09:36:00+05:30,24981.3313,24995.3603,24976.2093,24987.8087,1894
2026-07-14T09:37:00+05:30,24987.8087,25014.9165,24974.334,25000.6702,3822
2026-07-14T09:38:00+05:30,25000.6702,25024.092,24986.4889,25013.7869,11706
2026-07-14T09:39:00+05:30,25013.7869,25037.4755,25010.4889,25022.285,14887
2026-07-14T09:40:00+05:30,25022.285,25029.0555,25002.1753,25012.9635,10936
2026-07-14T09:41:00+05:30,25012.9635,25041.5395,24997.5865,25031.7067,3950
2026-07-14T09:42:00+05:30,25031.7067,25036.671,25022.2451,25028.0067,902
2026-07-14T09:43:00+05:30,25028.0067,25038.7298,25024.0504,25034.571,9080
2026-07-14T09:44:00+05:30,25034.571,25042.5607,25011.0309,25019.5746,5798
2026-07-14T09:45:00+05:30,25019.5746,25040.5944,25007.8246,25031.1625,12589
